Source,SS,DF,MS,F,p-unc,np2,DV
avatar_type,1.1997231726200002,2.0,0.5998615863100001,0.7589561751572219,0.4698754811465182,0.009636442787145748,Perceived Anthropomorphism
lsm_type,4.257513044316233,1.0,4.257513044316233,5.386685678062997,0.02158571485452772,0.03337750977059193,Perceived Anthropomorphism
avatar_type * lsm_type,0.681146300842067,2.0,0.3405731504210335,0.43089956333895646,0.6506953569378418,0.0054940025645246115,Perceived Anthropomorphism
Residual,123.29882874327326,156.0,0.7903771073286747,,,,Perceived Anthropomorphism
avatar_type,0.9428359265895867,2.0,0.47141796329479335,0.830138139375289,0.43790567809926095,0.010530720343373835,Perceived Personalization
lsm_type,2.303282107476026,1.0,2.303282107476026,4.055938619294571,0.045735138257054136,0.025340756827161123,Perceived Personalization
avatar_type * lsm_type,1.344593272297946,2.0,0.672296636148973,1.1838731700853244,0.308825549891971,0.014950937895427133,Perceived Personalization
Residual,88.58911401098901,156.0,0.5678789359678783,,,,Perceived Personalization
avatar_type,2.6923869112926937,2.0,1.3461934556463468,2.451917197716494,0.08944168447165456,0.030476802581232806,Trust
lsm_type,2.0307977704079625,1.0,2.0307977704079625,3.6988353772354845,0.05627190186583899,0.023161317166140966,Trust
avatar_type * lsm_type,2.1447423791699403,2.0,1.0723711895849701,1.9531853694955368,0.1452743293136211,0.024429112617203288,Trust
Residual,85.6497842897843,156.0,0.5490370787806685,,,,Trust
avatar_type,5.171901895414028,2.0,2.585950947707014,4.487038117307877,0.012743644973761618,0.05439688731369763,Rapport
lsm_type,1.6500142559163355,1.0,1.6500142559163355,2.863038398683819,0.0926326014700243,0.018022054894221002,Rapport
avatar_type * lsm_type,2.578698006227551,2.0,1.2893490031137755,2.237226552427204,0.11016867778495316,0.02788265059193434,Rapport
Residual,89.90526429588928,156.0,0.5763157967685211,,,,Rapport
avatar_type,4.932721485830636,2.0,2.466360742915318,2.57287258273677,0.07955159914116551,0.03193224344949101,Social Presence
lsm_type,2.0006100147254577,1.0,2.0006100147254577,2.087008022010375,0.15056234015552086,0.013201641603083548,Social Presence
avatar_type * lsm_type,5.082468956443165,2.0,2.5412344782215825,2.6509798025706663,0.07376094579611453,0.032869778012122416,Social Presence
Residual,149.5419083231583,156.0,0.9586019764305019,,,,Social Presence
avatar_type,2.7448862087906556,2.0,1.3724431043953278,2.921132365626524,0.05682596234614316,0.03609851073793618,Engagement
lsm_type,1.5406876455905256,1.0,1.5406876455905256,3.2792270458732555,0.07208601964327581,0.020587914109658635,Engagement
avatar_type * lsm_type,2.8254315906938254,2.0,1.4127157953469127,3.006849478862616,0.05232185601010869,0.0371184597130543,Engagement
Residual,73.29387973137972,156.0,0.4698325623806392,,,,Engagement
avatar_type,1.8953965641649035,2.0,0.9476982820824518,2.00685063351998,0.13786668596386362,0.025083484946965058,Satisfaction
lsm_type,3.3059544490938584,1.0,3.3059544490938584,7.000705716141612,0.008982334467296765,0.04294892887355362,Satisfaction
avatar_type * lsm_type,2.360856827505165,2.0,1.1804284137525825,2.499681127160946,0.08539540948320512,0.03105206246981695,Satisfaction
Residual,73.66812932437934,156.0,0.4722315982332009,,,,Satisfaction
